image,angle
images\20240618_221711602339.png,-0.010516554736223234
images\20240618_221712226349.png,0.02061148917346256
images\20240618_221712755544.png,-0.022095536476416506
images\20240618_221713271444.png,-0.032244666345659416
images\20240618_221713918057.png,0.0012348958900959442
images\20240618_221714595515.png,-0.031091192641368875
images\20240618_221715160215.png,-0.0003462921797902933
images\20240618_221715750834.png,-0.007290364103732058
images\20240618_221716411311.png,-0.02262683522166079
images\20240618_221717086549.png,0.009482007410615823
images\20240618_221717662695.png,0.07858895927974026
images\20240618_221718173793.png,0.014576005673985872
images\20240618_221718686990.png,0.0009886166832409136
images\20240618_221719313596.png,-0.018378257753633557
images\20240618_221719970186.png,0.025797405711456244
images\20240618_221720585783.png,0.032160810778595
images\20240618_221721256466.png,-0.016704371264920075
images\20240618_221721932022.png,-0.01692346672871398
images\20240618_221722550244.png,-0.01861656011464831
images\20240618_221723108956.png,-0.013597617778726622
images\20240618_221723635891.png,-0.02351520431593192
images\20240618_221724258764.png,0.06425792536141121
images\20240618_221724883675.png,-0.023915941140525924
images\20240618_221725506320.png,-0.025295232677425325
images\20240618_221726065726.png,-0.00570983783437073
images\20240618_221726594404.png,0.01231554847161889
images\20240618_221727225237.png,-0.02542982550235241
images\20240618_221727842667.png,-0.0024741821321393803
images\20240618_221728508512.png,0.0075358909706499805
images\20240618_221729151672.png,-0.024015311905915493
images\20240618_221729659344.png,-0.03648310536630205
images\20240618_221730178982.png,0.026919309264944034
images\20240618_221730779677.png,-0.007199775193373604
images\20240618_221731331524.png,-0.018000051134882452
images\20240618_221731863337.png,-0.020831796244124356
images\20240618_221732477178.png,0.020328656263882874
images\20240618_221733122710.png,-0.0025764696082655495
images\20240618_221733752912.png,0.008982579612592884
images\20240618_221734314464.png,-0.008362912597588484
images\20240618_221734859095.png,-0.034324778911340885
images\20240618_221735443189.png,0.021723650092963825
images\20240618_221735955421.png,-0.010459785494573551
images\20240618_221736488961.png,0.00306205891793181
images\20240618_221737054225.png,-0.015051069171295789
images\20240618_221737697705.png,0.06225527650449315
images\20240618_221738222637.png,0.03657914230387783
images\20240618_221738765926.png,-0.009076136794946805
images\20240618_221739388396.png,0.05927277875097236
images\20240618_221740021147.png,0.005075844727281269
images\20240618_221740647122.png,-0.0144723961456009
images\20240618_221741209127.png,-0.018536877791705833
images\20240618_221741744808.png,-0.008215827980529507
images\20240618_221742382896.png,-0.028403011040259475
images\20240618_221743052577.png,-0.013352851473235249
images\20240618_221743683704.png,0.004467442463208335
images\20240618_221744185080.png,-0.0033628444799245457
images\20240618_221744686219.png,-0.030700055529525483
images\20240618_221745306640.png,0.011156365724004113
images\20240618_221745990744.png,-0.010680536179573734
images\20240618_221746545455.png,-0.0052725642947804635
images\20240618_221747203942.png,-0.0176794440576804
images\20240618_221747817979.png,-0.024604518656278787
